,Name,Club,Country,League,Overall Rating,Position,Skill,Weak Foot,Work Rate,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Height,Base Stats,In Game Stats
479,Stefan Radu,Lazio,Romania,Serie A TIM,80,CB,3,3,M / H,64,64,65,68,83,69,183,413,1963
480,Raúl García,Athletic Club,Spain,LaLiga Santander,80,CAM,3,3,H / M,47,82,80,77,72,81,184,439,2157
481,Naldo,AS Monaco Football Club SA,Brazil,Ligue 1 Conforama,80,CB,2,4,M / M,53,65,62,61,81,71,198,393,1890
482,Daniel Wass,Valencia CF,Denmark,LaLiga Santander,80,CM,3,3,M / M,73,77,81,77,76,75,181,459,2200
483,Sergio Romero,Manchester United,Argentina,Premier League,80,GK,1,3,M / M,79,76,81,83,47,79,192,445,971
484,Pedro León,SD Eibar,Spain,LaLiga Santander,80,RM,4,3,M / L,60,78,85,80,45,59,183,407,1973
485,Ignacio Piatti,Impact Montréal,Argentina,Major League Soccer,80,LW,5,4,H / M,73,81,74,84,55,75,180,442,2076
486,Lars Bender,Bayer 04 Leverkusen,Germany,Bundesliga,80,RB,2,3,M / H,65,64,72,72,83,77,185,433,2065
487,Sven Bender,Bayer 04 Leverkusen,Germany,Bundesliga,80,CB,2,4,M / H,65,51,62,61,82,77,186,398,1874
488,Etienne Capoue,Watford,France,Premier League,80,CDM,3,3,M / M,52,71,74,73,78,77,190,425,2051
489,Antunes,Getafe CF,Portugal,LaLiga Santander,80,LB,4,3,H / M,75,69,76,76,77,72,176,445,2156
490,Ralf Fährmann,Norwich City,Germany,Premier League,80,GK,1,1,M / M,82,79,44,84,38,79,197,406,862
491,Federico Fazio,Roma,Argentina,Serie A TIM,80,CB,2,2,M / M,33,41,54,55,82,81,195,346,1618
492,Makoto Hasebe,Eintracht Frankfurt,Japan,Bundesliga,80,CB,3,3,M / M,53,51,76,72,81,69,180,402,2006
493,Lucas Pratto,Núñez,Argentina,SAF,80,ST,4,3,H / M,71,79,72,75,58,86,187,441,2096
494,Sofiane Feghouli,Galatasaray SK,Algeria,Süper Lig,80,RM,4,3,H / L,86,72,74,82,34,64,176,412,1952
495,Mateo Musacchio,Milan,Argentina,Serie A TIM,80,CB,3,3,M / M,66,47,63,68,83,72,180,399,1908
496,Yann M'Vila,AS Saint-Étienne,France,Ligue 1 Conforama,80,CDM,3,3,M / M,70,61,75,74,75,78,182,433,2072
497,Lars Stindl,Borussia Mönchengladbach,Germany,Bundesliga,80,CF,4,4,M / M,66,80,78,79,59,72,181,434,2133
498,Steven Nzonzi,Galatasaray SK,France,Süper Lig,80,CDM,2,3,M / M,42,55,71,69,79,86,196,402,1926
499,Manuel Lanzini,West Ham United,Argentina,Premier League,80,CAM,4,3,M / M,77,72,78,85,32,50,167,394,1939
500,Francis Coquelin,Valencia CF,France,LaLiga Santander,80,CM,3,3,M / H,70,66,75,78,78,77,177,444,2107
501,Hulk,Shanghai SIPG FC,Brazil,CSL,80,RM,4,3,H / M,78,85,76,80,47,86,179,452,2126
502,Kevin Strootman,Olympique de Marseille,Holland,Ligue 1 Conforama,80,CM,3,3,H / H,57,72,80,73,77,80,186,439,2127
503,Chris Smalling,Roma,England,Serie A TIM,80,CB,2,3,M / H,69,47,58,59,79,81,194,393,1791
504,Kamil Glik,AS Monaco Football Club SA,Poland,Ligue 1 Conforama,80,CB,2,2,L / M,45,32,44,54,79,82,190,336,1571
505,Jeroen Zoet,PSV,Holland,Eredivisie,80,GK,1,4,M / M,79,77,77,82,57,79,189,451,991
506,Danijel Subašic,AS Monaco Football Club SA,Croatia,Ligue 1 Conforama,80,GK,1,2,M / M,79,75,76,81,51,80,191,442,956
507,Kevin Vogt,TSG 1899 Hoffenheim,Germany,Bundesliga,80,CB,2,3,H / M,73,57,71,67,80,79,194,427,1979
508,Roberto Pereyra,Watford,Argentina,Premier League,80,LM,4,4,H / M,75,73,79,83,61,67,182,438,2111
509,Sergi Enrich,SD Eibar,Spain,LaLiga Santander,80,ST,4,4,H / H,60,78,70,75,43,78,181,404,1945
510,Callum Wilson,Bournemouth,England,Premier League,80,ST,4,3,H / M,87,78,67,77,39,75,180,423,1977
511,Josuha Guilavogui,VfL Wolfsburg,France,Bundesliga,80,CDM,2,3,M / H,59,59,67,66,83,79,188,413,1961
512,Alex Oxlade-Chamberlain,Liverpool,England,Premier League,80,CM,4,4,H / H,82,73,78,83,66,73,175,455,2140
513,Luis Muriel,Atalanta,Colombia,Serie A TIM,80,ST,4,4,H / M,88,76,68,83,27,68,179,410,1930
514,Ibai Gómez,Athletic Club,Spain,LaLiga Santander,80,RM,4,5,M / M,76,79,80,80,59,67,177,441,2106
515,Campaña,Levante UD,Spain,LaLiga Santander,80,CM,4,3,M / M,61,73,81,78,73,72,179,438,2117
516,Hans Vanaken,Club Brugge KV,Belgium,Belgium Pro League,80,CAM,4,5,H / H,48,76,81,77,65,73,195,420,2063
517,Cristian Tello,Real Betis,Spain,LaLiga Santander,80,LM,4,4,M / M,89,75,76,81,48,61,178,430,2018
518,Martin Hinteregger,Eintracht Frankfurt,Austria,Bundesliga,80,CB,2,3,H / M,68,61,64,60,81,80,184,414,1999
519,Salif Sané,FC Schalke 04,Senegal,Bundesliga,80,CB,2,3,M / H,62,49,65,64,80,81,196,401,1831
520,Sergi Darder,RCD Espanyol,Spain,LaLiga Santander,80,CM,4,3,M / L,45,69,79,80,66,67,180,406,2013
521,Davy Klaassen,SV Werder Bremen,Holland,Bundesliga,80,CM,3,3,H / H,65,78,74,76,70,75,179,438,2110
522,Pavel Kaderábek,TSG 1899 Hoffenheim,Czech Republic,Bundesliga,80,RWB,3,2,H / H,77,43,74,75,75,81,182,425,2022
523,Pozuelo,Toronto FC,Spain,Major League Soccer,80,CAM,4,5,H / M,66,73,78,83,50,60,170,410,2013
524,Christoph Kramer,Borussia Mönchengladbach,Germany,Bundesliga,80,CDM,3,3,H / H,52,49,71,73,77,77,191,399,1906
525,Kurt Zouma,Chelsea,France,Premier League,80,CB,2,3,M / M,64,51,59,56,78,83,190,391,1876
526,Iñigo Martínez,Athletic Club,Spain,LaLiga Santander,80,CB,2,3,M / M,70,56,64,62,80,78,182,410,1955
527,Bernat,Paris Saint-Germain,Spain,Ligue 1 Conforama,80,LB,4,3,H / M,82,61,78,85,74,66,170,446,2131
528,Portu,Real Sociedad,Spain,LaLiga Santander,80,CF,3,4,H / M,81,78,76,81,58,75,178,449,2105
529,Esteban Andrada,Buenos Aires,Argentina,SAF,80,GK,1,2,M / M,80,77,80,81,45,80,194,443,899
530,Manu Trigueros,Villarreal CF,Spain,LaLiga Santander,80,CM,4,4,M / M,60,73,78,77,70,66,178,424,2081
531,Michael Keane,Everton,England,Premier League,80,CB,2,3,M / H,60,49,62,66,80,79,191,396,1841
532,Hakan Çalhanoğlu,Milan,Turkey,Serie A TIM,80,LW,4,4,M / M,67,75,82,83,59,58,178,424,2100
533,Nathan Aké,Bournemouth,Holland,Premier League,80,CB,2,3,M / H,75,53,70,72,81,77,180,428,2028
534,Juan Fernando Quintero,Núñez,Colombia,SAF,80,CAM,4,2,H / L,73,77,81,83,37,50,168,401,1972
535,Marcel Halstenberg,RB Leipzig,Germany,Bundesliga,80,LB,3,3,H / M,69,66,72,72,80,80,187,439,2112
536,André Gomes,Everton,Portugal,Premier League,80,CDM,4,4,M / M,65,71,78,80,73,80,188,447,2125
537,Moussa Dembélé,Olympique Lyonnais,France,Ligue 1 Conforama,80,ST,4,3,H / M,82,77,61,76,30,81,183,407,1909
538,Odisseas Vlachodimos,SL Benfica,Greece,Liga NOS,80,GK,1,3,M / M,84,73,67,86,42,76,188,428,917
539,Santi Mina,RC Celta,Spain,LaLiga Santander,80,ST,3,4,H / M,77,79,69,78,53,72,181,428,2035
540,Iván Marcone,Buenos Aires,Argentina,SAF,80,CDM,4,3,M / H,55,58,73,79,75,83,183,423,2006
541,Joaquín Correa,Lazio,Argentina,Serie A TIM,80,CF,4,4,H / M,84,75,75,84,39,67,188,424,1979
542,Martin Dúbravka,Newcastle United,Slovakia,Premier League,80,GK,1,2,M / M,77,80,81,81,49,79,190,447,985
543,Mattia Caldara,Milan,Italy,Serie A TIM,80,CB,2,3,M / H,64,34,46,63,83,74,187,364,1667
544,Krzysztof Piatek,Milan,Poland,Serie A TIM,80,ST,3,3,M / M,76,80,53,73,38,71,183,391,1844
545,Mata,Getafe CF,Spain,LaLiga Santander,80,ST,3,3,H / M,72,79,61,75,31,77,185,395,1858
546,Diogo Jota,Wolverhampton Wanderers,Portugal,Premier League,80,LF,4,5,H / H,83,77,70,84,53,76,178,443,2099
547,Joe Gomez,Liverpool,England,Premier League,80,CB,3,3,M / M,81,30,64,68,79,76,188,398,1787
548,Eric Bailly,Manchester United,Côte d'Ivoire,Premier League,80,CB,3,3,M / H,76,42,58,63,79,80,186,398,1853
549,Marcos Llorente,Atlético Madrid,Spain,LaLiga Santander,80,CDM,3,3,M / M,58,50,73,72,77,73,184,403,1934
550,Marko Dmitrovic,SD Eibar,Serbia,LaLiga Santander,80,GK,1,2,M / M,76,79,78,81,39,81,194,434,902
551,Yeray,Athletic Club,Spain,LaLiga Santander,80,CB,2,3,M / M,62,49,58,62,81,74,183,386,1870
552,Miguel Almirón,Newcastle United,Paraguay,Premier League,80,LW,4,2,H / H,89,74,76,81,48,63,174,431,2020
553,Odriozola,Real Madrid,Spain,LaLiga Santander,80,RB,3,3,H / M,89,53,71,76,77,69,176,435,2029
554,Carlos Soler,Valencia CF,Spain,LaLiga Santander,80,RM,3,4,M / M,77,74,81,78,62,68,180,440,2098
555,Manuel Lazzari,Lazio,Italy,Serie A TIM,80,RM,3,3,H / H,88,62,76,80,54,62,174,422,1949
556,Melendo,RCD Espanyol,Spain,LaLiga Santander,80,RM,3,3,M / M,82,71,77,81,55,61,167,427,1964
557,Rúben Dias,SL Benfica,Portugal,Liga NOS,80,CB,2,4,M / H,64,38,50,60,81,83,186,376,1737
558,Dominik Livaković,GNK Dinamo Zagreb,Croatia,Croatia Liga,80,GK,1,3,M / M,80,78,74,82,53,79,187,446,978
559,Loren,Real Betis,Spain,LaLiga Santander,80,ST,3,3,M / M,77,79,59,77,31,72,188,395,1846
560,Simone Verdi,Torino,Italy,Serie A TIM,80,LM,4,5,H / M,86,73,80,83,48,53,171,423,2058
561,Tiémoué Bakayoko,AS Monaco Football Club SA,France,Ligue 1 Conforama,80,CDM,3,3,M / M,66,48,69,74,79,85,189,421,1942
562,Ante Rebic,Milan,Croatia,Serie A TIM,80,ST,4,4,H / M,88,80,70,78,39,81,185,436,2018
563,Valentin Rongier,Olympique de Marseille,France,Ligue 1 Conforama,80,CM,3,4,M / H,64,73,76,80,75,62,172,430,2098
564,Eric Dier,Tottenham Hotspur,England,Premier League,79,CDM,2,3,M / H,54,63,71,65,80,84,190,417,2013
565,Vinícius Júnior,Real Madrid,Brazil,LaLiga Santander,79,LW,5,4,H / M,93,70,71,84,29,63,176,410,1941
566,Aaron Wan-Bissaka,Manchester United,England,Premier League,79,RB,4,2,M / H,87,50,63,78,80,72,183,430,1971
567,Nacho Monreal,Arsenal,Spain,Premier League,79,LB,3,3,H / M,63,61,71,74,80,68,180,417,2035
568,Sead Kolašinac,Arsenal,Bosnia and Herzegovina,Premier League,79,LB,3,2,H / M,75,62,72,72,75,87,183,443,2022
569,Angeliño,Manchester City,Spain,Premier League,79,LB,4,3,H / M,85,64,79,80,72,78,175,458,2179
570,Ben Davies,Tottenham Hotspur,Wales,Premier League,79,LB,3,3,M / H,73,58,75,75,78,74,182,433,2039
571,Ben Chilwell,Leicester City,England,Premier League,79,LB,3,3,H / H,78,49,71,77,76,75,178,426,2020
572,Burak Yilmaz,Beşiktaş JK,Turkey,Süper Lig,79,ST,3,3,H / L,80,81,65,69,34,77,188,406,1939
573,Antonio Mirante,Roma,Italy,Serie A TIM,79,GK,1,2,M / M,80,78,65,78,44,79,193,424,909
574,Ezequiel Lavezzi,Hebei China Fortune FC,Argentina,CSL,79,ST,4,4,H / L,84,79,78,83,40,71,173,435,2094
575,Jonny Evans,Leicester City,Northern Ireland,Premier League,79,CB,2,4,M / H,56,32,59,55,80,75,188,357,1688
576,Domenico Criscito,Genoa,Italy,Serie A TIM,79,LB,3,3,H / M,74,61,76,72,79,75,183,437,2103
577,Antonio Candreva,Inter,Italy,Serie A TIM,79,RM,4,4,M / M,74,78,76,79,61,67,180,435,2077
578,Nahuel Guzmán,Tigres U.A.N.L.,Argentina,LIGA Bancomer MX,79,GK,1,3,M / M,78,76,70,79,51,80,193,434,1054
579,Max-Alain Gradel,Toulouse Football Club,Côte d'Ivoire,Ligue 1 Conforama,79,LW,4,4,H / H,84,78,73,81,42,62,177,420,2005
580,Mamadou Sakho,Crystal Palace,France,Premier League,79,CB,2,2,M / H,53,33,65,57,78,83,187,369,1729
581,Joshua King,Bournemouth,Norway,Premier League,79,CF,4,3,M / M,88,79,69,79,38,75,184,428,2003
582,Kwadwo Asamoah,Inter,Ghana,Serie A TIM,79,LB,4,3,H / H,74,68,78,82,79,74,173,455,2208
583,Senad Lulic,Lazio,Bosnia and Herzegovina,Serie A TIM,79,LM,3,4,H / H,78,72,77,78,75,76,183,456,2161
584,Jack Wilshere,West Ham United,England,Premier League,79,CM,3,2,M / M,64,68,80,81,63,66,172,422,2071
585,Guaita,Crystal Palace,Spain,Premier League,79,GK,1,3,M / M,80,80,77,80,51,76,190,444,1037
586,Iago Falqué,Torino,Spain,Serie A TIM,79,CF,4,3,H / M,75,74,79,84,41,54,174,407,1962
587,Javier Pastore,Roma,Argentina,Serie A TIM,79,CM,4,4,H / M,62,73,81,81,56,58,187,411,2013
588,Phil Jones,Manchester United,England,Premier League,79,CB,2,3,M / H,55,51,61,58,78,76,185,379,1806
589,Serge Aurier,Tottenham Hotspur,Côte d'Ivoire,Premier League,79,RB,3,3,H / M,77,59,73,76,77,76,176,438,2073
590,Ross Barkley,Chelsea,England,Premier League,79,CAM,4,5,M / M,70,73,77,80,56,73,185,429,2024
591,Jeison Murillo,Sampdoria,Colombia,Serie A TIM,79,CB,2,3,M / H,75,40,59,64,79,80,182,397,1862
592,Danny da Costa,Eintracht Frankfurt,Germany,Bundesliga,79,RWB,3,3,H / H,81,50,70,72,76,81,187,430,2003
593,James Tarkowski,Burnley,England,Premier League,79,CB,2,4,M / M,58,45,66,64,79,78,192,390,1867
594,Leonardo Spinazzola,Roma,Italy,Serie A TIM,79,LM,3,4,M / M,81,64,74,79,76,73,186,447,2081
595,Zé Luís,FC Porto,Cape Verde Islands,Liga NOS,79,ST,4,4,M / M,82,73,60,77,33,78,184,403,1907
596,Loris Karius,Beşiktaş JK,Germany,Süper Lig,79,GK,1,3,M / M,82,74,78,82,55,76,189,447,934
597,Kenny Lala,RC Strasbourg Alsace,France,Ligue 1 Conforama,79,RWB,3,3,H / M,79,54,76,77,74,76,178,436,2076
598,Takashi Inui,SD Eibar,Japan,LaLiga Santander,79,LM,4,4,M / M,81,72,75,84,46,54,169,412,1979
599,Daniele Baselli,Torino,Italy,Serie A TIM,79,CM,4,3,H / M,71,73,79,81,66,68,182,438,2121
600,Maximilian Arnold,VfL Wolfsburg,Germany,Bundesliga,79,CM,3,2,H / H,65,80,76,77,70,69,184,437,2101
601,Leandro Trossard,Brighton & Hove Albion,Belgium,Premier League,79,LW,4,4,H / M,83,80,76,82,30,62,172,413,2012
602,Fred,Manchester United,Brazil,Premier League,79,CM,4,4,H / H,76,73,75,80,74,69,169,447,2167
603,Fabian Schär,Newcastle United,Switzerland,Premier League,79,CB,2,4,H / H,62,66,71,69,80,75,188,423,2066
604,De Tomás,SL Benfica,Spain,Liga NOS,79,ST,3,3,M / M,72,81,60,74,35,71,180,393,1887
605,Otávio,FC Porto,Brazil,Liga NOS,79,RM,4,3,H / M,75,69,77,84,45,62,172,412,1987
606,Morgan Sanson,Olympique de Marseille,France,Ligue 1 Conforama,79,CM,4,4,M / M,75,73,78,77,70,75,180,448,2149
607,Niklas Stark,Hertha BSC,Germany,Bundesliga,79,CB,2,3,M / M,78,53,66,67,80,75,190,419,1903
608,Roman Zobnin,Spartak Moscow,Russia,League of Russia,79,CDM,4,3,H / H,76,64,75,80,78,73,182,446,2081
609,Jefferson Lerma,Bournemouth,Colombia,Premier League,79,CDM,3,4,M / H,73,64,72,73,78,80,179,440,2097
610,Leonardo Sigali,Racing Club,Argentina,SAF,79,CB,2,3,H / H,68,41,44,59,80,74,181,366,1692
611,Léo Dubois,Olympique Lyonnais,France,Ligue 1 Conforama,79,RB,3,4,M / M,74,61,75,75,77,73,178,435,2076
612,Mbwana Ally Samatta,KRC Genk,Tanzania,Belgium Pro League,79,ST,3,4,H / H,85,78,66,73,32,74,183,408,1929
613,Diego Carlos,Sevilla FC,Brazil,LaLiga Santander,79,CB,3,4,M / H,77,44,58,68,78,80,186,405,1880
614,Jason Denayer,Olympique Lyonnais,Belgium,Ligue 1 Conforama,79,CB,2,3,M / H,75,42,63,69,79,78,184,406,1839
615,James Maddison,Leicester City,England,Premier League,79,CAM,4,4,H / M,75,72,82,79,39,57,175,404,1963
616,Lei Wu,RCD Espanyol,China PR,LaLiga Santander,79,ST,3,4,M / M,87,74,72,79,36,66,174,414,1974
617,Lukas Klostermann,RB Leipzig,Germany,Bundesliga,79,RB,2,3,M / M,85,50,63,70,79,75,189,422,1867
618,Abdou Diallo,Paris Saint-Germain,France,Ligue 1 Conforama,79,CB,3,3,H / M,77,37,70,76,78,76,186,414,1931
619,Thilo Kehrer,Paris Saint-Germain,Germany,Ligue 1 Conforama,79,CB,3,5,M / H,74,44,65,68,78,76,186,405,1901
620,Benjamin Pavard,FC Bayern München,France,Bundesliga,79,CB,3,3,M / M,69,47,72,70,81,74,186,413,1983
621,Tiquinho Soares,FC Porto,Brazil,Liga NOS,79,ST,3,3,H / H,82,75,60,75,48,80,187,420,1979
622,André Silva,Milan,Portugal,Serie A TIM,79,ST,4,3,M / M,77,75,63,78,43,75,185,411,1972
623,Milot Rashica,SV Werder Bremen,Kosovo,Bundesliga,79,LW,3,4,H / M,90,78,71,82,44,63,177,428,2005
624,Richarlison,Everton,Brazil,Premier League,79,RM,4,5,H / M,84,77,72,81,45,79,181,438,2072
625,Ruslan Malinovskyi,Atalanta,Ukraine,Serie A TIM,79,CM,4,4,H / H,71,77,81,77,64,80,181,450,2162
626,Raphinha,Sporting CP,Brazil,Liga NOS,79,RW,4,3,H / M,89,74,74,82,49,70,176,438,2090
627,Federico Chiesa,Fiorentina,Italy,Serie A TIM,79,RW,4,4,H / H,85,74,71,82,44,64,175,420,1956
628,Tomáš Souček,Slavia Praha,Czech Republic,Česká Liga,79,CDM,3,3,H / H,70,68,72,73,79,82,192,444,2093
629,Dani Olmo,GNK Dinamo Zagreb,Spain,Croatia Liga,79,CAM,4,4,H / M,80,76,76,82,48,61,179,423,2035
630,Viktor Tsygankov,FC Dynamo Kyiv,Ukraine,Ukraine Liga,79,RM,4,4,H / M,83,73,77,80,47,56,177,416,1966
631,Kevin-Prince Boateng,Fiorentina,Ghana,Serie A TIM,79,CF,4,4,H / M,65,79,78,80,67,77,185,446,2171
632,Salomón Rondón,Dalian Yifang FC,Venezuela,CSL,79,ST,3,4,H / M,69,77,62,71,37,82,186,398,1870
633,Andreas Samaris,SL Benfica,Greece,Liga NOS,79,CDM,2,3,M / H,57,66,70,70,79,84,189,426,2058
634,Darío Benedetto,Olympique de Marseille,Argentina,Ligue 1 Conforama,79,ST,3,5,H / L,80,80,66,75,38,73,177,412,1979
635,Ruben Aguilar,AS Monaco Football Club SA,France,Ligue 1 Conforama,79,RB,3,3,H / H,84,53,69,76,75,73,172,430,1998
636,Dyego Sousa,Shenzhen FC,Portugal,CSL,79,ST,3,3,H / M,55,81,53,71,30,86,190,376,1780
637,Allan Saint-Maximin,Newcastle United,France,Premier League,79,RW,5,4,H / L,93,70,70,86,23,63,173,405,1882
638,Joël Veltman,Ajax,Holland,Eredivisie,79,CB,2,4,M / M,66,49,66,69,79,78,184,407,1900
639,José Ángel,SD Eibar,Spain,LaLiga Santander,79,LB,3,3,H / L,69,54,75,74,79,69,182,420,2010
640,Fabián Orellana,SD Eibar,Chile,LaLiga Santander,79,RM,4,4,H / L,72,75,78,80,40,45,171,390,1931
641,Leandro Cabrera,Getafe CF,Uruguay,LaLiga Santander,79,CB,2,3,L / M,58,31,58,58,79,80,187,364,1734
642,Ruben Loftus-Cheek,Chelsea,England,Premier League,79,CM,4,3,H / M,70,67,76,80,62,79,191,434,2008
643,Cristian Pavón,LA Galaxy,Argentina,Major League Soccer,79,RW,4,3,H / M,91,76,75,78,49,74,174,443,2068
644,Diadie Samassekou,TSG 1899 Hoffenheim,Mali,Bundesliga,79,CDM,3,3,M / M,73,49,69,73,77,77,177,418,1964
645,David Villa,Vissel Kobe,Spain,Meiji Yasuda J1 League,79,ST,4,4,H / L,65,81,74,80,34,67,175,401,1990
646,Salomon Kalou,Hertha BSC,Côte d'Ivoire,Bundesliga,79,LM,4,3,M / L,65,78,74,85,43,59,185,404,1982
647,Dante,OGC Nice,Brazil,Ligue 1 Conforama,79,CB,2,4,M / H,36,52,67,64,80,76,188,375,1846
648,Mathieu Debuchy,AS Saint-Étienne,France,Ligue 1 Conforama,79,RB,3,3,H / M,69,67,73,75,78,73,176,435,2110
649,Borja Valero,Inter,Spain,Serie A TIM,79,CAM,4,4,M / M,48,69,84,82,66,60,175,409,2048
650,Diego Valeri,Portland Timbers,Argentina,Major League Soccer,79,CAM,3,3,H / M,58,79,78,80,41,66,178,402,2014
651,Niklas Moisander,SV Werder Bremen,Finland,Bundesliga,79,CB,3,5,H / M,50,49,69,71,80,71,183,390,1894
652,Marcano,FC Porto,Spain,Liga NOS,79,CB,2,3,M / M,65,46,59,60,79,75,189,384,1790
653,Augusto Fernández,Beijing Renhe,Argentina,CSL,79,CM,4,3,M / M,68,70,76,78,71,74,177,437,2077
654,Ángel,Getafe CF,Spain,LaLiga Santander,79,ST,3,3,H / M,74,79,61,79,34,64,172,391,1854
655,Granero,RCD Espanyol,Spain,LaLiga Santander,79,CM,4,4,M / M,47,74,81,75,67,67,180,411,2030
656,Eder Citadin Martins,Jiangsu Suning FC,Italy,CSL,79,ST,4,4,H / M,86,78,73,82,29,65,179,413,1981
657,Ruud Vormer,Club Brugge KV,Holland,Belgium Pro League,79,CM,3,4,H / H,60,74,79,70,75,79,178,437,2154
658,Séamus Coleman,Everton,Republic of Ireland,Premier League,79,RB,3,3,H / H,74,65,73,77,79,71,177,439,2098
659,Adam Lallana,Liverpool,England,Premier League,79,CM,4,5,H / H,67,71,79,82,62,65,178,426,2082
660,Anthony Modeste,1. FC Köln,France,Bundesliga,79,ST,3,3,M / M,74,78,63,72,35,80,187,402,1932
661,Yuri Berchiche,Athletic Club,Spain,LaLiga Santander,79,LB,3,3,H / M,80,64,71,74,78,81,180,448,2115
662,Mariano,Galatasaray SK,Brazil,Süper Lig,79,RB,3,3,H / M,82,64,75,76,71,76,177,444,2113
663,Ömer Toprak,SV Werder Bremen,Turkey,Bundesliga,79,CB,2,4,M / M,71,37,62,67,80,74,186,391,1823
664,Nikola Kalinic,Atlético Madrid,Croatia,LaLiga Santander,79,ST,3,4,H / H,67,76,64,74,42,72,187,395,1889
665,Alex Teixeira,Jiangsu Suning FC,Brazil,CSL,79,ST,4,4,H / M,92,76,73,82,42,72,174,437,2072
666,Shinji Kagawa,R. Zaragoza,Japan,LaLiga 1 I 2 I 3,79,CAM,4,4,M / L,62,67,75,84,54,45,175,387,1944
667,Maicon,Al Nassr,Brazil,Saudi Professional League,79,CB,2,3,M / H,53,55,66,55,79,83,191,391,1868
668,Elkeson,Guangzhou Evergrande Taobao,Brazil,CSL,79,ST,4,4,H / M,81,77,73,77,49,76,180,433,2093
669,Kike García,SD Eibar,Spain,LaLiga Santander,79,ST,3,4,M / M,61,79,63,75,38,73,186,389,1855
670,Escudero,Sevilla FC,Spain,LaLiga Santander,79,LB,3,2,M / M,72,63,74,71,79,72,176,431,2079
671,Mario Gaspar,Villarreal CF,Spain,LaLiga Santander,79,RB,3,3,H / M,74,70,71,72,79,76,182,442,2070
672,Herrerín,Athletic Club,Spain,LaLiga Santander,79,GK,1,3,M / M,81,78,84,75,48,78,187,444,934
673,Haris Seferovic,SL Benfica,Switzerland,Liga NOS,79,ST,3,2,H / M,71,77,67,72,47,86,189,420,2017
674,Víctor Ruíz,Beşiktaş JK,Spain,Süper Lig,79,CB,2,2,M / M,52,42,63,60,80,76,185,373,1798
675,Germán Pezzella,Fiorentina,Argentina,Serie A TIM,79,CB,2,3,M / M,56,49,47,57,80,76,186,365,1694
676,Laguardia,D. Alavés,Spain,LaLiga Santander,79,CB,2,3,M / H,53,45,55,49,80,79,185,361,1701
677,Ishak Belfodil,TSG 1899 Hoffenheim,Algeria,Bundesliga,79,ST,3,2,H / M,71,77,69,78,36,81,191,412,1930
678,Andriy Yarmolenko,West Ham United,Ukraine,Premier League,79,RM,4,2,H / M,68,80,78,81,42,70,190,419,2034
679,Wahbi Khazri,AS Saint-Étienne,Tunisia,Ligue 1 Conforama,79,ST,4,4,H / H,76,80,77,79,43,68,176,423,2027
680,Enzo Pérez,Núñez,Argentina,SAF,79,CDM,3,4,M / M,67,71,76,75,75,78,178,442,2125
681,Daniel Caligiuri,FC Schalke 04,Italy,Bundesliga,79,RWB,3,4,M / H,74,74,77,78,72,76,182,451,2183
682,Danilo,Piemonte Calcio,Brazil,Serie A TIM,79,RB,3,4,H / M,71,70,74,74,78,76,184,443,2135
683,Nicolas Pallois,FC Nantes,France,Ligue 1 Conforama,79,CB,2,2,M / H,49,53,60,57,79,84,189,382,1786
684,Vitolo,Atlético Madrid,Spain,LaLiga Santander,79,LM,3,4,M / M,76,76,76,79,41,75,185,423,1984
685,Milan Badelj,Fiorentina,Croatia,Serie A TIM,79,CDM,3,4,M / M,54,63,76,73,76,71,186,413,2016
686,Ciprian Tatarusanu,Olympique Lyonnais,Romania,Ligue 1 Conforama,79,GK,1,3,M / M,79,77,75,81,46,78,196,436,901
687,Willy Boly,Wolverhampton Wanderers,France,Premier League,79,CB,2,4,M / M,64,35,62,62,78,82,195,383,1751
688,Nick Pope,Burnley,England,Premier League,79,GK,1,3,M / M,78,80,75,79,50,80,200,442,922
689,Damián Suárez,Getafe CF,Uruguay,LaLiga Santander,79,RB,3,3,H / M,76,67,74,73,78,76,173,444,2124
690,John Brooks,VfL Wolfsburg,United States,Bundesliga,79,CB,2,3,M / H,71,39,58,65,80,75,193,388,1754
691,Santiago Arias,Atlético Madrid,Colombia,LaLiga Santander,79,RB,3,3,H / M,83,53,69,75,76,77,178,433,2013
692,Roque Mesa,CD Leganés,Spain,LaLiga Santander,79,CDM,3,3,M / H,71,61,74,78,71,77,171,432,2013
693,Mário Rui,Napoli,Portugal,Serie A TIM,79,LB,3,3,H / M,83,49,73,79,73,67,170,424,2083
694,James Ward-Prowse,Southampton,England,Premier League,79,CM,3,3,M / M,60,71,85,77,62,64,173,419,2094
695,Téji Savanier,Montpellier Hérault SC,France,Ligue 1 Conforama,79,CM,4,4,M / M,71,69,81,79,66,68,171,434,2111
696,Leo Baptistao,Wuhan Zall,Brazil,CSL,79,ST,4,3,M / M,77,75,72,78,33,67,181,402,1926
697,Denis Cheryshev,Valencia CF,Russia,LaLiga Santander,79,LM,3,4,H / L,77,79,78,77,55,67,179,433,2065
698,Carlos Bacca,Villarreal CF,Colombia,LaLiga Santander,79,ST,3,2,M / L,70,76,64,76,33,66,181,385,1872
699,Adnan Januzaj,Real Sociedad,Belgium,LaLiga Santander,79,RW,4,4,M / L,76,76,74,82,29,56,186,393,1869
700,Jonas Hector,1. FC Köln,Germany,Bundesliga,79,LB,3,3,M / M,75,60,75,75,78,75,185,438,2062
